MDS ID,2016년,2017년
00-250068225,o,x
 00-250068229,x,x
 00-250071409,o,o
 00-250068143,o,x
 00-250071012,o,x
 00-450086528,o,x
 00-250071359,o,o
 00-360000241,o,x
 00-250071527,o,o
 00-250071414,o,o
 00-250071417,o,o
 00-250071416,o,x
 00-250071369,o,x
 00-250071518,o,x
 00-250071510,o,o
 00-250068167,o,o
 00-250071088,o,o
 00-250071559,o,x
 00-450086506,o,x
 00-250130316,o,x
 00-250071071,o,o
 00-250071357,o,o
 00-250059701,o,x
 00-250059704,o,o
 00-250071091,o,o
 00-250070996,o,x
 00-250071099,o,o
 00-250071098,o,x
 00-250071547,o,x
 00-251008614,x,x
 00-250059957,o,x
 00-360000185,o,o
 00-360000250,o,x
 00-360000262,x,x
 00-450083464,o,o
